id,name,min,max,avg,stddev
1,1,28779.745102,70413.112640,44498.4,7507.51
2,2,12136.220932,57740.688324,39484,11931.4
3,4,31249.761581,74977.874756,44522.1,7116.03
4,8,32829.523086,61770.439148,47334.7,6907.93
5,16,23242.235184,62268.972397,40775.7,7215.17
6,32,34965.276718,266469.717026,52238.2,22437.6
7,64,21888.017655,126402.854920,44281.6,13512.7
8,128,30846.834183,57794.094086,44141,6527.36
9,256,33558.845520,58841.943741,45562.9,5261.64
10,512,31296.968460,76210.021973,51478.9,9485.58
11,1024,29853.820800,58196.783066,43412.1,6944.41
12,2048,22693.634034,58777.570725,43348.8,7768.87
13,4096,28087.377549,67195.415497,48080.5,7045.22
14,8192,25023.221970,70545.911789,47994.5,7435.78
15,16384,41491.508484,341705.083847,72286.1,36794.5
