id,name,min,max,avg,stddev
1,1,375334.501267,1026076.316833,414921,123680
2,2,374526.262284,1220885.038375,527124,203687
3,4,373697.996140,1599285.840988,579996,280728
4,8,374527.931213,1133298.158646,502372,216840
5,16,375225.305557,1373417.377471,514581,213112
6,32,375038.146973,1185602.426529,434005,155146
7,64,374979.972840,1115831.375122,437427,165307
8,128,375557.422638,1333500.146866,614039,287399
9,256,377726.316452,1771432.876587,741272,263782
10,512,374581.813812,2145217.657089,645297,252110
11,1024,373722.076416,1059362.411499,444238,136044
12,2048,373844.861984,1075627.565384,458522,157629
13,4096,375479.936600,671682.596207,380019,29318.7
14,8192,377042.770386,1214424.848557,504164,176313
15,16384,382425.308227,1838345.050812,699294,317161
