id,name,min,max,avg,stddev
1,1,42202.234269,300768.852234,215418,73132.6
2,2,256262.302399,293467.044831,276544,6934.58
3,4,264565.944672,296664.237976,286410,5212.06
4,8,248491.287231,485124.111176,280324,22909.1
5,16,194641.351700,289654.731750,263797,19955.4
6,32,234466.075897,281920.194626,270820,9316.63
7,64,242139.101028,286493.539810,274986,6720.91
8,128,255117.177963,294173.955917,277594,5633.86
9,256,197100.162506,291790.962219,273074,24051.8
10,512,267696.857453,317460.536957,292318,10117.4
11,1024,246965.169907,340512.990951,306559,11562.2
12,2048,288845.777512,319688.081741,308849,4788.76
13,4096,256515.502930,333769.798279,308088,9970.66
14,8192,260102.272034,593731.403351,312578,30765.9
15,16384,278878.211975,499304.771423,345093,41624.5
