id,name,min,max,avg,stddev
1,1,775673.627853,2197783.946991,1.27571e+06,205163
2,2,907718.420029,1544388.771057,1.25493e+06,170472
3,4,889459.848404,1944172.620773,1.30654e+06,168746
4,8,916151.523590,1641555.547715,1.29834e+06,175909
5,16,902897.834778,2353769.063949,1.37899e+06,182771
6,32,1072748.661042,1976267.576218,1.37682e+06,167623
7,64,855974.197388,2291099.071503,1.2793e+06,198973
8,128,906693.458557,2092998.504639,1.27578e+06,206303
9,256,883764.505386,1702509.880066,1.33513e+06,142070
10,512,904638.767242,1989628.076554,1.32738e+06,183986
11,1024,762013.196945,1573744.297028,1.24621e+06,204900
12,2048,921738.862991,1848238.706588,1.29471e+06,161676
13,4096,868882.417679,2307627.439499,1.26363e+06,230307
14,8192,977614.402771,3160157.203675,1.4783e+06,387309
15,16384,1101896.047592,2996282.815934,1.78237e+06,439577
