id,name,min,max,avg,stddev
1,1,842050.075531,6076878.786087,2.43248e+06,734787
2,2,1794473.409652,6011004.686356,2.70168e+06,876880
3,4,1768729.686737,4357915.878296,2.36308e+06,573711
4,8,1729028.940201,5029979.705811,2.54038e+06,662648
5,16,1721832.275390,5698061.704635,2.5959e+06,717921
6,32,1758310.556412,4372264.385224,2.46064e+06,552073
7,64,1801478.862763,6872474.193573,2.57484e+06,865854
8,128,1811403.989792,6686717.987061,2.80831e+06,837781
9,256,1746257.781983,6022149.801254,2.79536e+06,880757
10,512,1752569.437027,5751942.396164,2.85409e+06,810410
11,1024,1795059.204102,5419141.054154,2.76938e+06,649718
12,2048,1814368.486405,4561312.437057,2.20955e+06,465156
13,4096,1801563.262940,4497639.417649,2.37719e+06,501604
14,8192,1843981.027603,6331261.873246,2.62195e+06,689438
15,16384,1855563.879013,5135950.088501,2.60588e+06,723035
