id,name,min,max,avg,stddev
1,1,3024.578094,7503.271103,4840.31,1038.49
2,2,4004.240036,9683.370590,5157.27,929.571
3,4,3138.542175,8726.119995,4997.37,1264.02
4,8,3598.451615,9070.396423,5178.95,1129.69
5,16,3615.140915,7635.593415,5009.53,801.13
6,32,3364.086151,9465.932846,5609.4,1101.33
7,64,3387.212754,11453.151703,5527.54,1483.03
8,128,3911.256790,10127.305984,6095.28,1079.41
9,256,3667.354584,10636.806488,5967.07,1173.22
10,512,3813.266755,11112.451554,5315.29,1135.06
11,1024,4598.379135,9760.379791,6029.95,1044.26
12,2048,7884.979248,14087.200165,9647.64,979.159
13,4096,13437.747955,17221.689224,14797.7,827.385
14,8192,24848.222733,29720.067978,26755.2,841.862
15,16384,48339.128494,53781.747818,50438.3,999.697
