id,name,min,max,avg,stddev
1,1,3628.730774,9756.088257,5029.36,1089.13
2,2,4055.738449,8104.801178,5484.68,869.305
3,4,3595.590592,8668.422699,5490.98,1058.77
4,8,3758.668900,8123.636246,5024.9,768.841
5,16,3290.176392,8135.557175,5090.24,936.067
6,32,3416.299820,8488.416671,5311.01,1010.98
7,64,2777.814865,7166.624069,5038.8,889.347
8,128,3690.719604,7928.133011,5074.7,886.418
9,256,3748.893738,8950.948716,5086.79,866.411
10,512,3465.890885,9260.892868,5382.29,1110.55
11,1024,4610.061646,8768.081665,6311.45,868.254
12,2048,8276.700973,13435.363770,10453.5,935.236
13,4096,13382.434845,17164.468765,15233.7,813.605
14,8192,25779.008866,30379.295349,27689.4,1003.78
15,16384,49111.843109,54119.348526,51062.9,970.74
